0.207866	1.191229	bite
3.549703	4.349703	bite
4.469108	5.389108	bite
6.187996	6.891541	bite
6.995474	7.595474	bite
8.242667	9.114103	bite
9.585798	10.305798	chew
10.361296	11.153249	chewbite
11.240000	12.016225	chewbite
12.064194	12.832163	chewbite
12.919640	13.647170	chewbite
13.687144	14.358709	chew
14.406678	14.998296	chew
15.166187	15.815964	chew
15.840000	16.560000	chew
16.677209	17.397209	chewbite
17.440000	18.200000	chewbite
18.280000	19.040000	chewbite
19.120000	19.840000	chew
19.920000	20.618659	chewbite
21.098349	21.880000	chewbite
21.960000	22.681324	chew
22.737288	23.432838	chewbite
23.480807	24.040445	chew
24.248310	24.823938	chew
24.975840	25.831881	chewbite
25.887250	26.480000	chew
26.560000	27.280000	chewbite
27.360000	28.080000	chew
28.160000	28.880000	chewbite
28.960000	29.680000	chew
29.760000	30.560000	chewbite
30.680000	31.400000	chew
31.451132	32.251132	chewbite
32.330486	33.250486	chewbite
33.402387	34.122387	chewbite
34.193875	35.033875	chew
35.161249	35.636942	bite
35.664923	35.968727	bite
36.144613	36.784199	chew
36.832168	37.552168	chew
37.607666	38.143320	chew
38.255247	38.840000	chew
38.920000	39.598378	chew
39.662337	40.285933	chew
40.317913	40.925520	chew
40.997473	41.701018	chew
41.836930	42.556930	chewbite
42.636413	43.371937	chewbite
43.411368	44.091471	chewbite
44.155430	44.875430	chewbite
44.978897	45.738897	chewbite
45.818354	46.578354	chewbite
46.665805	47.385805	chewbite
47.489273	48.289273	chewbite
48.368704	49.128704	chewbite
49.200166	49.920166	chewbite
49.999648	50.719648	chew
50.783141	51.663141	chewbite
51.750515	52.510515	chew
52.589972	53.349972	chew
53.437424	54.197424	chew
57.514786	58.474682	chewbite
58.618072	59.338072	chew
59.440000	60.160000	chew
60.240000	60.960000	chewbite
61.000530	61.720530	chew
61.784023	62.504023	chew
62.559522	63.247077	chew
63.327025	64.014580	chew
64.126508	64.886508	chew
64.925990	65.477633	chew
65.600000	66.320000	chew
66.388268	66.996651	chew
67.156547	67.676211	chew
67.828113	68.515668	chew
68.579626	69.240000	chew
69.320000	69.994711	chew
70.586328	71.306328	chew
71.409795	72.009407	chew
